stock_id,company_name
2009,第一銅
1532,勤美
1537,廣隆
3712,永崴投控
3228,金麗科
6679,鈺太
6790,永豐實
6863,永道-KY
6782,視陽
3576,聯合再生
1103,嘉泥
5306,桂盟
1218,泰山
7740,熙特爾-創
3587,閎康
2035,唐榮
6753,龍德造船
3715,定穎投控
3704,合勤控
6230,尼得科超眾
00942B,台新美A公司債20+
1304,台聚
1110,東泥
2838A,聯邦銀甲特
4755,三福化
00688L,國泰20年美債正2
2493,揚博
6231,系微
2034,允強
2401,凌陽
6245,立端
3416,融程電
4906,正文
00670L,富邦NASDAQ正2
6763,綠界科技*
3167,大量
00965,元大航太防衛科技
4306,炎洲
4968,立積
5287,數字
8234,新漢
8374,羅昇
6462,神盾
6284,佳邦
8054,安國
5284,jpp-KY
1710,東聯
1614,三洋電
1235,興泰
00780B,國泰A級金融債
2104,國際中橡
1313,聯成
1312,國喬
2233,宇隆
3015,全漢
2636,台驊控股
5609,中菲行
4771,望隼
6186,新潤
2102,泰豐
2908,特力
6464,台數科
1720,生達
1582,信錦
9105,泰金寶-DR
2536,宏普
3483,力致
2331,精英
2891C,中信金丙特
8938,明安
2231,為升
8917,欣泰
6235,華孚
8462,柏文
2387,精元
8349,恒耀
6143,振曜
6667,信紘科
3558,神準
6655,科定
6811,宏碁資訊
1718,中纖
8341,日友
6576,逸達
6741,91APP*-KY
5525,順天
6449,鈺邦
8261,富鼎
4129,聯合
2546,根基
3357,臺慶科
6914,阜爾運通
00946,群益科技高息成長
6115,鎰勝
9943,好樂迪
1101B,台泥乙特
00633L,富邦上証正2
8033,雷虎
5243,乙盛-KY
6202,盛群
6785,昱展新藥
1604,聲寶
3088,艾訊
1615,大山
2332,友訊
6112,邁達特
9942,茂順
8163,達方
6683,雍智科技
5403,中菲
5351,鈺創
4137,麗豐-KY
1203,味王
5222,全訊
2489,瑞軒
6192,巨路
9926,新海
5312,寶島科
3611,鼎翰
3454,晶睿
8942,森鉅
00753L,中信中國50正2
2316,楠梓電
5288,豐祥-KY
1618,合機
4164,承業醫
6957,裕慶-KY
6263,普萊德
5531,鄉林
2612,中航
8027,鈦昇
2457,飛宏
3694,海華
2436,偉詮電
3016,嘉晶
4571,鈞興-KY
9924,福興
2762,世界健身-KY
6732,昇佳電子
6117,迎廣
5278,尚凡*
3209,全科
2852,第一保
3605,宏致
2013,中鋼構
2323,中環
6525,捷敏-KY
8467,波力-KY
3548,兆利
1711,永光
00935,野村臺灣新科技50
6184,大豐電
4174,浩鼎
2729,瓦城
4205,中華食
3689,湧德
6958,日盛台駿
4746,台耀
2340,台亞
6585,鼎基
1709,和益
6994,富威電力
1321,大洋
1616,億泰
3551,世禾
1713,國化
5203,訊連
6215,和椿
6762,達亞
3645,達邁
3032,偉訓
8213,志超
4107,邦特
2888B,新光金乙特
6443,元晶
4549,桓達
2420,新巨
4438,廣越
3028,增你強
5340,建榮
3679,新至陞
2640,大車隊
6261,久元
3152,璟德
3289,宜特
4726,永昕
4419,皇家美食
3312,弘憶股
1565,精華
3622,洋華
7736,虎山
6534,正瀚-創
8404,百和興業-KY
3708,上緯投控
6788,華景電
1201,味全
3675,德微
3147,大綜
4119,旭富
3062,建漢
6949,沛爾生醫-創
3003,健和興
4960,誠美材
2450,神腦
6715,嘉基
1603,華電
8916,光隆
2630,亞航
5236,凌陽創新
2365,昆盈
00845B,富邦新興投等債
3701,大眾控
1708,東鹼
00752,中信中國50
1714,和桐
00715L,期街口布蘭特正2
3130,一零四
3305,昇貿
8076,伍豐
8215,明基材
1597,直得
2107,厚生
2029,盛餘
6829,千附精密
3004,豐達科
4977,眾達-KY
2527,宏璟
2338,光罩
6739,竹陞科技
6923,中台
2228,劍麟
2433,互盛電
9918,欣天然
3149,正達
2419,仲琦
6903,巨漢
8110,華東
2114,鑫永銓
2397,友通
6277,宏正
3048,益登
6244,茂迪
6227,茂綸
6016,康和證
8044,網家
6281,全國電
2505,國揚
4142,國光生
1535,中宇
4722,國精化
00895,富邦未來車
3479,安勤
4953,緯軟
1580,新麥
5457,宣德
1569,濱川
3055,蔚華科
9905,大華
2230,泰茂
00775B,新光投等債15+
6120,達運
8271,宇瞻
8096,擎亞
2349,錸德
4157,太景*-KY
6756,威鋒電子
1342,八貫
3036A,文曄甲特
6153,嘉聯益
9906,欣巴巴
1308,亞聚
8099,大世科
5511,德昌
8045,達運光電
8109,博大
5309,系統電
8249,菱光
00844B,新光15年IG金融債
6190,萬泰科
8155,博智
00694B,富邦美債1-3
4909,新復興
1799,易威
3402,漢科
4126,太醫
6416,瑞祺電通
6411,晶焱
00959B,大華投等美債15Y+
5263,智崴
6862,三集瑞-KY
2442,新美齊
00905,FT臺灣Smart
9946,三發地產
3501,維熹
2706,第一店
5258,虹堡
4566,時碩工業
00968B,元大優息投等債
1558,伸興
1437,勤益控
